Test,Test Type,SegmentName,ComponentTestName,CAT,Student SSID,AlternateSSID,Student Name
(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,Single,(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,,IRP39990001,AIRP39990001,IRPStudentA
(SBAC_PT)SBAC-IRP-CAT-ELA-3-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-ELA-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-3-Summer-2015-2016,TRUE,IRP39990001,AIRP39990001,IRPStudentA
(SBAC_PT)SBAC-IRP-Perf-MATH-3-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-Perf-MATH-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-3-Summer-2015-2016,,IRP39990002,AIRP39990002,IRPStudentB
(SBAC_PT)SBAC-IRP-CAT-MATH-3-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-MATH-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-MATH-3-Summer-2015-2016,TRUE,IRP39990002,AIRP39990002,IRPStudentB
(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,Single,(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,,IRP79990001,AIRP79990001,IRPStudentC
(SBAC_PT)SBAC-IRP-CAT-ELA-7-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-ELA-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-7-Summer-2015-2016,TRUE,IRP79990001,AIRP79990001,IRPStudentC
(SBAC_PT)SBAC-IRP-Perf-MATH-7-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-Perf-MATH-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-7-Summer-2015-2016,,IRP79990002,AIRP79990002,IRPStudentD
(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,TRUE,IRP79990002,AIRP79990002,IRPStudentD
(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,Single,(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,,IRP119990001,AIRP119990001,IRPStudentE
(SBAC_PT)SBAC-IRP-CAT-ELA-11-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-ELA-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-11-Summer-2015-2016,TRUE,IRP119990001,AIRP119990001,IRPStudentE
(SBAC_PT)SBAC-IRP-Perf-MATH-11-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-Perf-MATH-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-11-Summer-2015-2016,,IRP119990002,AIRP119990002,IRPStudentF
(SBAC_PT)SBAC-IRP-CAT-MATH-11-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-MATH-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-MATH-11-Summer-2015-2016,TRUE,IRP119990002,AIRP119990002,IRPStudentF
(SBAC_PT)SBAC-IRP-ELA-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S1-COMBINED-ELA-3-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,,IRP39990001,AIRP39990001,IRPStudentA
(SBAC_PT)SBAC-IRP-ELA-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S2-COMBINED-ELA-3-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,,IRP39990001,AIRP39990001,IRPStudentA
(SBAC_PT)SBAC-IRP-ELA-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-ELA-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-3-Summer-2015-2016,TRUE,IRP39990001,AIRP39990001,IRPStudentA
(SBAC_PT)SBAC-IRP-ELA-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S1-COMBINED-ELA-7-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,,IRP79990001,AIRP79990001,IRPStudentC
(SBAC_PT)SBAC-IRP-ELA-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S2-COMBINED-ELA-7-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,,IRP79990001,AIRP79990001,IRPStudentC
(SBAC_PT)SBAC-IRP-ELA-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-ELA-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-7-Summer-2015-2016,TRUE,IRP79990001,AIRP79990001,IRPStudentC
(SBAC_PT)SBAC-IRP-ELA-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S1-COMBINED-ELA-11-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,,IRP119990001,AIRP119990001,IRPStudentE
(SBAC_PT)SBAC-IRP-ELA-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S2-COMBINED-ELA-11-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,,IRP119990001,AIRP119990001,IRPStudentE
(SBAC_PT)SBAC-IRP-ELA-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-ELA-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-11-Summer-2015-2016,TRUE,IRP119990001,AIRP119990001,IRPStudentE
(SBAC_PT)SBAC-IRP-MATH-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-COMBINED-MATH-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-3-Summer-2015-2016,,IRP39990002,AIRP39990002,IRPStudentB
(SBAC_PT)SBAC-IRP-MATH-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-MATH-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-MATH-3-Summer-2015-2016,TRUE,IRP39990002,AIRP39990002,IRPStudentB
(SBAC_PT)SBAC-IRP-MATH-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-COMBINED-MATH-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-7-Summer-2015-2016,,IRP79990002,AIRP79990002,IRPStudentD
(SBAC_PT)SBAC-IRP-MATH-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-Calc-COMBINED-MATH-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,TRUE,IRP79990002,AIRP79990002,IRPStudentD
(SBAC_PT)SBAC-IRP-MATH-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-NoCalc-COMBINED-MATH-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,TRUE,IRP79990002,AIRP79990002,IRPStudentD
(SBAC_PT)SBAC-IRP-MATH-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-COMBINED-MATH-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-11-Summer-2015-2016,,IRP119990002,AIRP119990002,IRPStudentF
(SBAC_PT)SBAC-IRP-MATH-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-MATH-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-MATH-11-Summer-2015-2016,TRUE,IRP119990002,AIRP119990002,IRPStudentF
